City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Guilin,CN,25.28,110.29,55.4,62,75,8.95,broken clouds
331,Morant Bay,JM,17.88,-76.41,80.6,57,20,9.17,few clouds
332,Gat,IL,31.61,34.76,51.8,93,40,4.7,light rain
333,Joaquim Nabuco,BR,-8.62,-35.53,70.83,93,19,2.15,few clouds
334,San Luis,AR,-33.3,-66.34,62.06,86,100,12.8,moderate rain
335,Taywarah,AF,33.35,64.42,33.58,77,0,1.41,clear sky
336,Santarem,BR,-2.44,-54.71,78.8,94,0,3.36,clear sky
337,Naze,JP,28.37,129.48,71.6,78,75,10.29,broken clouds
338,Bloomington,US,44.84,-93.3,28.99,63,20,3.53,few clouds
339,Ayr,GB,55.46,-4.63,48.99,93,75,8.05,broken clouds
340,Lazi,UA,48.07,24.23,25.5,74,0,3.49,clear sky
341,Marzuq,YE,14.4,46.47,58.35,71,0,2.73,clear sky
342,Chuy,UY,-33.7,-53.46,61.7,86,40,8.9,scattered clouds
343,Jalu,LY,29.03,21.55,55.42,86,0,6.89,clear sky
344,Whithorn,JM,18.26,-78.04,80.01,74,40,6.93,scattered clouds
345,Deputatskiy,RU,69.3,139.9,-5.37,91,100,5.32,overcast clouds
346,Nadym,RU,65.53,72.52,18.9,93,0,17.45,clear sky
347,Havoysund,NO,71.0,24.66,32.0,92,0,13.87,clear sky
348,Kulhudhuffushi,MV,6.62,73.07,82.67,73,75,7.43,light rain
349,Orodara,BF,10.95,-4.93,77.0,38,0,6.93,clear sky
350,Coquimbo,CL,-29.95,-71.34,55.4,93,0,2.24,clear sky
351,Irati,BR,-25.47,-50.65,63.05,98,48,3.51,scattered clouds
352,Alihe,CN,50.57,123.72,8.82,82,0,3.53,clear sky
353,Entebbe,UG,0.06,32.45,67.93,77,85,5.5,overcast clouds
354,San Jose,US,37.34,-121.89,54.0,58,5,2.04,clear sky
355,Boyolangu,ID,-8.12,111.89,86.13,65,56,1.41,broken clouds
356,Carroll,US,39.55,-77.02,36.0,67,93,3.0,overcast clouds
357,Saint-Paul,RE,-21.01,55.27,80.6,74,20,10.29,few clouds
358,Cap Malheureux,MU,-19.98,57.61,79.0,82,2,5.99,clear sky
359,Mayo,US,38.89,-76.51,41.0,48,90,11.41,overcast clouds
360,Ust-Kuyga,RU,70.02,135.6,-6.39,90,100,8.46,overcast clouds
361,Manyana,BW,-23.4,21.72,66.0,25,19,10.13,few clouds
362,Kenai,US,60.55,-151.26,35.01,93,90,5.82,light rain
